countryname,countrycode,continent,gdpcap,bsc_fem,bsc_mal,bsc_tot,popdens,urbpop,co2intens,forest,natresource,femparl,drinkwater,sanitation,healthexp,healthexpcap,doctors,nurses,lifexp_fem,lifexp_tot,lifexp_mal,infmort_tot,infmort_mal,infmort_fem,suicide_mal,suicide_fem,popgrowth,birthrate,deathrate,oldagedep,sexratio,totpop,tfr,contracep,hiv,internet,mobiles,gini,top10p,povrat,povgap215,povgap685,povgap365,hom_tot,hom_fem,hom_mal,armyexp,ptemp_fem,ptemp_mal,ptemp_tot,femmanage,emprat_fem,emprat_mal,emprat_tot,emp_serv,emp_indu,emp_agri,lfp_fem,lfp_mal,unemploy
Afghanistan,AFG,Asia,555.13898,,,,58.32568,25.754,.28789973,1.852782,.69252807,27.868853,26.798956,,13.242202,285.55814,,,66.388,64.833,63.382,46.400002,49.599998,42.900002,4.5999999,3.5999999,2.3130734,31.802,6.2849998,4.7636166,1.0599999,38041756,4.3210001,,.1,.051740516,59.356018,,,,,,,,1.2856505,,1.1182306,,,,,18.533001,64.382004,42.118999,38.959999,18.549999,42.5,22.74,76.440002,11.217
Albania,ALB,Europe,4543.3867,,,,104.16756,61.229,.37246409,28.791971,1.7796652,29.508196,70.665855,47.577141,,,1.6471,5.0879998,80.200996,78.572998,77.001999,8.6000004,9.5,7.6999998,5.9000001,2.7,-.42600736,11.62,8.0819998,20.764736,1.084,2854191,1.597,,.1,15.140735,91.293015,30.799999,23.799999,46.200001,0,2.3,.1,2.2562292,.91929442,3.5451684,1.2910872,24.42,15.35,19.379999,41.299999,46.754002,59.895,53.391998,43.43,20.15,36.419998,61.459999,77.43,11.47
Algeria,DZA,Africa,4115.3955,,,,18.076296,73.189003,.96652931,.81411034,16.342045,25.757576,73.139748,17.839064,6.243371,750.44873,,,78.133003,76.879997,75.676003,20,21.299999,18.6,3.0999999,1.8,1.9339833,23.583,4.7160001,10.418294,1.05,43053056,2.9879999,44.900002,.1,8.3216839,105.5106,,,,,,,1.3262706,.43185619,2.2023327,6.0210462,,,,,13.507,61.043999,37.411999,59.990002,30.42,9.6000004,18.700001,73.589996,10.513
American Samoa,ASM,Oceania,11368.569,,,,276.56,87.147003,,85.800003,0,,98.361969,,,,,,,,,,,,,,-.2690188,,,,,55312,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Andorra,AND,Europe,39003.539,,,,164.14043,87.984001,.16616999,34.042553,0,46.42857,90.640007,100,6.711585,3716.2661,,,,,,2.5,2.7,2.2,,,.17904179,7,3.9000001,,,77146,,,,47.131264,113.95737,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Africa,2612.3469,,,,25.527632,66.177002,.30322811,53.872173,26.138355,30,,,2.5333595,178.02606,,,64.039001,61.146999,58.416,49.900002,55.200001,44.5,10,2.3,3.242914,40.231998,7.9809999,4.2973824,1.03,31825300,5.4419999,,1.7,.37413007,46.598637,,,,,,,,,,1.6437403,,,,,69.134003,73.943001,71.483002,42.470001,6.8000002,50.73,76.879997,79.029999,7.421
Antigua and Barbuda,ATG,North America,16786.447,,,,220.71591,24.506001,.31897616,18.59091,0,11.111111,,,4.4429598,1016.4708,,,78.103996,77.015999,75.858002,5.5999999,6,5.0999999,0,.80000001,.86144578,15.107,6.4219999,13.125373,1.03,97115,1.987,,,8.237402,189.46025,,,,,,,3.0891211,1.9894955,4.2688522,,,,,,,,,,,,,,
Argentina,ARG,South America,12712.971,,,,16.420826,91.990997,.2942389,10.480179,2.1916027,40.157482,,,9.5100708,2198.8804,,,79.995003,76.667,73.241997,8.1000004,9.1999998,7,13.7,3.3,.99339747,16.833,7.6040001,17.523174,1.04,44938712,2.247,,.40000001,19.636106,125.84211,42.900002,31,,.30000001,3.7,.89999998,5.1428432,1.7829695,8.653286,.70618665,53.23,28.91,39.5,33.099998,44.800999,64.679001,54.356998,78.099998,21.84,.059999999,59.529999,79.480003,9.8400002
Armenia,ARM,Asia,4350.4663,,,,103.88929,63.219002,.4795028,11.544784,2.2011888,23.484848,86.422966,67.762794,11.335264,1616.1779,,,78.515999,75.086998,71.327003,10.2,11.3,9.1000004,5.5999999,1.3,.20262402,13.646,9.835,16.949986,1.1059999,2957728,1.758,,,13.040537,122.34875,29.9,25.1,,.1,15.2,1.9,2.4681106,.63838249,4.5282402,4.7689686,19.860001,12.3,16.16,,36.123001,53.884998,44.195,51.200001,24.75,24.049999,50.959999,73.739998,18.299999
Aruba,ABW,South America,29769.293,,,,590.61108,43.546001,,2.3333333,,,,,,,,,78.640999,76.292999,73.767998,,,,,,.43741468,11.756,9.2049999,20.57633,1.05,106310,1.901,,,17.871588,132.62599,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Oceania,58781.047,35.461979,30.642269,33.09478,3.2976701,86.124001,.25923777,17.421314,5.812377,30.463575,,73.29258,9.9107857,5294.4629,,13.2416,85,82.900002,80.900002,3.2,3.4000001,2.9000001,18.6,6.4000001,1.5216537,12.1,6.6999998,24.568481,1.0549999,25365744,1.6569999,,.1,34.926521,109.25201,,,,,,,.89274377,.53746915,1.2428981,1.8797432,56.970001,32.580002,44.07,34.599998,57.820999,67.379997,62.547001,78.379997,19.059999,2.5599999,73.82,83.199997,5.1599998
Austria,AUT,Europe,46669.75,15.30871,15.42193,15.36363,107.60931,58.514999,.15628934,47.207466,.1139116,39.344261,98.902618,99.64077,10.434031,6134.1313,,,84.199997,81.895119,79.699997,2.9000001,3.2,2.7,22.799999,6.6999998,.44467363,9.6000004,9.3999996,28.658178,1.0549999,8879920,1.46,,,28.128099,119.7753,30.200001,23.200001,16.9,.5,.69999999,.60000002,.85984445,.87994707,.83912027,.72740942,60.709999,29.129999,43.93,32,53.542999,63.904999,58.605,70.989998,25.360001,3.6600001,72.18,81.470001,4.4899998
Azerbaijan,AZE,Asia,5348.2651,12.49776,19.200541,15.72203,121.28007,56.030998,.66234517,13.553367,25.481602,16.806723,87.74411,21.03919,4.03829,605.93451,,,75.455002,73.004997,70.511002,18.200001,20,16.299999,6.5999999,1.6,.84664673,14.1,5.5999999,9.1944532,1.123,10024283,1.8099999,,.1,19.337854,106.99245,,,,,,,1.6720213,1.192396,2.1531813,3.8734117,24.1,15.03,19.41,,59.749001,66.962997,63.275002,49.220001,14.79,36,69.540001,74.589996,4.8499999
"Bahamas, The",BHS,North America,32285.543,,,,38.909691,83.132004,.22584911,50.935066,.012459496,12.820513,,,5.7497749,2227.6421,,,76.081001,73.917999,71.658997,14.5,15.3,13.7,5.9000001,1.3,.9936595,13.882,6.8410001,10.623346,1.057,389486,1.743,,1.4,21.129347,109.24947,,,,,,,24.391121,2.9961648,47.032711,,,,,,63.028999,67.901001,65.365997,83.309998,14.48,2.2,76.459999,86.779999,10.061
Bahrain,BHR,Asia,21317.336,,,,2095.9949,89.393997,.95068645,.86845464,11.314228,15,98.983261,91.233818,4.0114751,1880.5751,,,78.422997,77.292,76.435997,5.9000001,6.1999998,5.6999998,12.5,2.4000001,4.468688,13.622,2.408,3.1979959,1.039,1641164,1.964,,.1,8.5909338,115.79292,,,,,,,.12186473,0,.18960994,4.0550542,,,,,42.645,85.400002,71.411003,63.810001,35.25,.94,47.029999,88.480003,1.196
Bangladesh,BGD,Asia,1581.5675,6.6717701,12.94728,9.7605495,1252.5634,37.404999,.35188472,14.468772,.41265157,20.630373,58.043262,37.684883,2.4835761,123.287,.63669997,.39160001,74.595001,72.591003,70.876999,25.5,27.1,23.9,5.6999998,1.7,1.0291966,17.868,5.526,7.662643,1.049,163046176,2.0109999,59.099998,.1,4.9590249,101.54916,,,,,,,,,,1.3489066,,,,,33.858002,77.290001,55.747002,40.380001,21.32,38.299999,38.48,84.230003,4.4380002
Barbados,BRB,North America,16678.549,,,,667.49072,31.158001,.26111874,14.651163,.2791796,20,,,6.2999039,1028.8302,,,80.482002,79.190002,77.814003,11.7,12.8,10.7,.89999998,.30000001,.13283108,10.621,9.0679998,24.3274,1.036,287021,1.623,,.89999998,37.210346,114.73774,,,,,,,16.723515,3.373637,30.976925,,11.69,9.5200005,10.6,47.700001,54.737999,59.591999,57.061001,78.419998,18.93,2.6500001,75.169998,80.43,8.4099998
Belarus,BLR,Europe,6264.8608,29.872351,26.337061,28.303539,46.410751,79.043999,.97723442,43.126156,1.7285932,40,94.586594,74.120216,5.8613396,1198.6211,,,79.400002,74.22683,69.300003,2.4000001,2.5999999,2.0999999,36.700001,7.6999998,-.20178661,9.3000002,12.8,22.432409,1.063,9419758,1.382,45.900002,.5,34.011101,123.00829,25.299999,21.299999,,0,.30000001,0,2.3803456,1.7219212,3.1364257,1.2261684,,,,45.799999,56.414001,67.944,61.671001,58.560001,30.379999,11.06,74.25,82.110001,4.1599998
Belgium,BEL,Europe,43065.516,36.862,33.667122,35.304008,379.42471,98.041,.18798298,22.7642,.015095994,42,99.913811,87.939865,10.65605,5846.8965,5.9555998,,84.300003,81.995125,79.800003,3.4000001,3.8,3,24.9,11.8,.5404613,10.2,9.5,29.72785,1.05,11488980,1.6,,,39.783138,99.742142,27.200001,22.299999,19.5,.1,.1,.1,,,,.89304292,51.880001,24.700001,37.439999,31.9,47.368999,55.733002,51.474998,78.239998,20.84,.92000002,64.879997,73.129997,5.3600001
Belize,BLZ,North America,4712.8403,,,,17.113152,45.866001,.34789002,56.47567,.79021978,9.375,,,5.9668922,445.71802,,,77.843002,74.623001,71.650002,10.6,11.5,9.5,12.5,1.7,1.8825984,20.51,4.756,7.439311,1.03,390351,2.2739999,,1.1,7.58288,65.304733,,,,,,,34.328079,8.670373,60.22205,1.331671,32.509998,20.709999,25.389999,,44.261002,75.498001,59.679001,67.610001,15.59,16.799999,52.150002,83.760002,6.711
Benin,BEN,Africa,1201.5614,,,,104.65724,47.861,.51481658,28.247162,2.4825327,7.2289157,,,2.3884292,81.989578,.0647,.30289999,63.324001,61.771,60.201,57.900002,63.400002,52.200001,11.8,3.8,2.7152185,35.831001,8.7180004,5.9873629,1.041,11801151,4.7670002,,.89999998,.21552983,87.702011,,,,,,,,,,.47293484,,,,,68.761002,72.209,70.461998,43.419998,18.309999,38.27,70.150002,73.169998,1.47
Bermuda,BMU,North America,107036.24,,,,1183.537,100,,18.518518,0,,,,,,,,85.790001,81.866585,78.129997,,,,,,-.010952132,8.1999998,8.3999996,,,63911,1.3,,,36.796467,107.18971,,,,,,,0,,,,,,,,,,,,,,,,
Bhutan,BTN,Asia,3238.0605,,,,20.007708,41.612,.42493871,71.397484,2.1798105,14.893617,36.48848,64.630028,3.6076159,432.13483,.46000001,1.8293999,72.176003,71.777,71.404999,23.9,26.1,21.6,6.3000002,2.7,1.1463792,17.011999,6.2509999,8.8861666,1.04,763094,1.954,,.2,1.1497959,95.563705,,,,,,,1.0483637,.55856246,1.4813645,,,,,,52.118999,68.418999,60.896999,34.060001,10.15,55.779999,62.310001,76.690002,2.5020001
Bolivia,BOL,South America,3317.3708,23.43207,25.97872,24.69866,10.627806,69.773003,.58492041,47.109535,3.3621974,53.076923,,51.425522,6.9233799,630.75909,,,74.508003,71.513,68.683998,21.5,23.700001,19.1,8.3999996,4.0999999,1.3991333,21.455,6.7620001,11.829612,1.05,11513102,2.688,,.30000001,6.4871492,101.52635,41.599998,30.799999,,.60000002,5.8000002,1.9,7.0007195,5.3021798,8.6857061,1.4636376,,,,28.200001,58.080002,77.956001,67.980003,50.049999,19.41,30.540001,65.699997,82.650002,3.8199999
Bosnia and Herzegovina,BIH,Europe,5578.2666,,,,64.472618,48.625999,1.1442477,42.732616,.7901811,21.428572,88.859787,,9.049099,1476.8014,,,79.857002,77.401001,74.892998,5.0999999,5.5,4.5999999,17.6,4.5,-.692267,7.9380002,10.877,25.256788,1.059,3300998,1.2539999,,,22.595789,113.76919,,,,,,,1.2723424,.59375405,1.9792194,.82006621,14.05,9.9899998,11.55,25.4,26.712,44.271999,35.242001,50.330002,31.709999,17.959999,46.790001,68.639999,15.69
Botswana,BWA,Africa,7051.3467,,,,4.0649037,70.171997,.44631293,27.125792,.62710768,10.769231,,,6.0483656,1122.142,,,72.386002,69.592003,66.485001,36.900002,40.400002,33.200001,26.299999,6.4000001,2.1781688,24.233999,5.7080002,7.0566435,1.031,2303703,2.836,,19.799999,2.1398213,162.64117,,,,,,,,,,2.8122611,,,,57.799999,43.185001,50.472,46.626999,62.490002,17.620001,19.9,68.459999,78.080002,22.610001
Brazil,BRA,South America,8622.0664,,,,25.250776,86.823997,.23866794,59.558525,3.5061581,15.009747,85.060081,47.849312,9.5912714,1497.8147,2.3106,7.4008002,79.555,75.880997,72.242996,13.3,14.9,11.7,10.9,3,.75155085,13.703,6.5310001,13.266008,1.05,211049520,1.719,,.5,15.592073,95.716492,53.5,41.900002,,2.0999999,11,4.5,20.882776,3.4766369,38.818832,1.4079885,35.09,20.42,26.709999,37.5,45.881001,64.919998,55.140999,70.940002,19.99,9.0799999,61.889999,80.190002,11.93
British Virgin Islands,VGB,North America,,,,,200.22,48.116001,,24.133333,,,,,,,,,,,,,,,,,.7956183,,,,,30033,,,,19.743589,131.64835,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Asia,30646.109,,,,82.219353,77.942001,.52640152,72.106262,22.614424,9.090909,,,2.1603136,1400.9136,,,77.106003,75.860001,74.727997,9.6000004,10.4,8.6000004,4.4000001,.80000001,1.0057423,14.459,4.5479999,7.2170882,1.0549999,433296,1.819,,,12.507934,132.66072,,,,,,,,,,3.0786421,13.72,8.6999998,10.64,32.299999,50.612999,68.559998,59.952999,77.279999,20.76,1.95,59.66,76.629997,6.9200001
Bulgaria,BGR,Europe,8234.7813,,,,64.257195,75.347,.68136078,35.740604,.57916951,25.833334,97.543098,70.41275,7.1261139,1797.5123,,,78.800003,75.112198,71.599998,5.5,6,4.9000001,15.3,4.4000001,-.70390564,8.8000002,15.5,33.175797,1.0599999,6975761,1.58,,.1,28.781967,116.20632,40.299999,31.4,32.5,.30000001,2.8,1,1.1856945,.63887769,1.7646779,3.1484756,13.21,9.0299997,10.97,39.200001,48.324001,60.515999,54.187,63.360001,30.02,6.6199999,68.870003,77.739998,4.23
Burkina Faso,BFA,Africa,738.21887,,,,74.274063,29.98,.33329713,22.903509,8.3207331,13.385827,,,5.4649425,122.40751,.093999997,.92720002,62.293999,61.577,60.738998,54.099998,58.799999,49.099998,11.3,3.7,2.8445964,37.452999,7.914,4.549356,1.046,20321384,5.1090002,30.5,.69999999,.059124928,100.21224,,,,,,,,,,2.6060376,,,,,55.140999,69.795998,62.346001,48.639999,25.16,26.209999,60.009998,75.68,4.6929998
Burundi,BDI,Africa,278.20261,,,,449.01001,13.366,.22445035,10.889408,12.851112,36.363636,,,7.9909143,61.796417,,.66280001,63.376999,61.584,59.764,39.900002,44.200001,35.400002,9.1999998,3.4000001,3.1289322,38.376999,7.7659998,4.4219112,1.03,11530577,5.3210001,,1,.03374505,56.6497,,,,,,,,,,2.4971521,,,,,78.917,76.390999,77.68,10.45,3.3499999,86.209999,81.690002,78.25,1.589
Cabo Verde,CPV,Africa,3482.4485,,,,136.46054,66.195,.33940363,11.270472,13.037451,23.611111,,,4.9362173,369.6832,,,76.196999,72.981003,69.526001,12.8,14.1,11.6,21.299999,4.5,1.1286578,19.061001,5.5760002,7.0234671,1.03,549936,2.2420001,,.60000002,3.6826169,108.31844,,,,,,,6.1825376,2.1905806,10.143604,.48821309,,,,,44.009998,56.465,50.242001,67.599998,21.799999,10.6,57.630001,69.900002,12.219
Cambodia,KHM,Asia,1441.1792,,,,93.397583,23.805,.68097466,46.589962,.68236828,20,27.198671,,6.9890833,316.04703,,1.0075999,71.908997,69.822998,67.538002,22.9,25.5,20,7,2.8,1.4464118,22.02,5.9920001,7.3504925,1.051,16486542,2.4779999,,.60000002,1.1183606,129.91615,,,,,,,,,,2.2285614,21.93,17.82,19.83,29.200001,75.980003,86.606003,81.060997,37.560001,27.91,34.529999,80.480003,89.610001,.147
Cameroon,CMR,Africa,1449.2776,,,,54.740513,56.967999,.2514528,43.147976,6.0224919,31.111111,,,3.5953953,136.23727,,,60.561001,59.292,58.028999,49.900002,55,44.599998,13.6,4.4000001,2.5841789,34.890999,9.059,4.959825,1.03,25876388,4.506,,3.0999999,1.5494014,82.703751,,,,,,,,,,1.0867592,,,,,67.823997,78.693001,73.224998,42.09,14.42,43.490002,72.139999,81.68,3.638
Canada,CAN,North America,45109.246,,,,4.1939492,81.482002,.34207207,38.699638,1.9869835,28.994083,99.038612,84.368134,10.844478,5520.6514,2.4425001,11.812,84.199997,82.048782,80,4.4000001,4.8000002,4.0999999,17.6,6.0999999,1.4361368,9.8999996,7.5999999,26.535715,1.054,37601232,1.47,,,40.475143,91.863106,,,,,,,1.8363564,.82239026,2.8388984,1.2789414,50.869999,33.689999,41.869999,,58.217999,65.865997,61.991001,79.239998,19.25,1.51,75.589996,82.459999,5.6599998
Cayman Islands,CYM,North America,83639.836,,,,270.61667,100,,53,0,,,,,,,,,,,,,,,,1.2019972,9.8000002,3.8,,,64948,,,,78.524361,152.42964,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Africa,418.72168,,,,7.6169043,41.77,.12079061,35.848663,9.8081675,8.5714283,6.283711,13.946193,7.7530088,78.443108,,,55.514,53.283001,51.081001,79.099998,85.5,72.199997,19.6,5.1999998,1.6746616,35.09,11.974,5.2844892,1.03,4745179,4.645,14.4,3.0999999,.010515923,33.619217,,,,,,,,,,1.9155293,,,,,59.860001,75.752998,67.648003,23.889999,6.2600002,69.849998,65.68,79.419998,5.6230001
Chad,TCD,Africa,660.06995,,,,12.664296,23.278999,.21375525,3.5117536,21.867514,14.880953,5.5812097,9.9511356,4.3536315,69.39679,.054200001,.13770001,55.668999,54.238998,52.834999,69,75.199997,62.400002,9.6000004,3.3,2.9861302,41.665001,11.907,4.915699,1.03,15946882,5.6490002,6.6999998,1.2,.00042641599,48.064831,,,,,,,,,,2.1871531,,,,,48.174999,70.307999,59.165001,23.059999,1.88,75.059998,64.43,77.040001,1.123
Channel Islands,CHI,Europe,,,,,,30.931,,,,,,,,,,,84.915001,83.085999,81.172997,,,,,,1.0316348,9.8109999,7.8239999,26.141724,1.057,172264,1.5089999,,,,,,,,,,,,,,,,,,,48.883999,63.622002,56.137001,72.730003,24.639999,2.6199999,65.620003,79.68,6.4130001
Chile,CHL,South America,13828.635,,,,25.489199,87.642998,.34863299,24.326862,4.8519673,22.580645,98.771362,77.152275,9.3327236,2424.1492,,,82.442001,80.181,77.771004,6,6.5,5.5,14.9,3.2,1.1829326,12.187,6.2540002,17.313927,1.04,18952036,1.627,,.60000002,18.096565,132.18456,,,,,,,3.962635,.98852676,7.0222206,1.8373818,39.84,26.1,31.83,,45.521,65.388,55.237,68.779999,22.25,8.9799995,59.130001,78.699997,7.29
China,CHN,Asia,10155.493,,,,149.36757,60.307999,.7489481,23.141165,1.1387811,24.941177,,68.036057,5.3502779,880.19128,,,79.244003,76.912003,74.761002,5.9000001,6.3000002,5.5999999,9.8000002,6.1999998,.35474089,10.41,7.0900002,16.221235,1.122,1407745024,1.696,,,31.335201,121.79229,38.200001,29.5,,0,6.4000001,.5,,,,1.7278279,,,,,60.541,71.307999,66.014999,47.25,27.42,25.33,68.57,82.760002,4.52
Colombia,COL,South America,6384.5356,12.68547,11.40011,12.06796,45.371288,81.103996,.25215158,53.484634,4.693336,18.713449,72.951859,18.166574,7.7094359,1204.2977,,,80.018997,77.287003,74.528,11.7,13,10.4,6.0999999,1.8,1.356788,14.655,5.6300001,12.775685,1.05,50339444,1.789,,.5,13.805977,131.67244,51.299999,40.299999,17.5,2.0999999,14,5,23.997087,4.0778499,44.652264,3.140734,36.98,17.76,25.719999,31,48.862,73.393997,60.758999,64.110001,20.120001,15.77,61.580002,84.580002,9.96
Comoros,COM,Africa,1284.3523,,,,457.22247,29.164,.29281402,17.925846,1.4873427,6.060606,,,5.1703033,168.64404,,,66.121002,64.320999,62.587002,48.700001,53.099998,43.799999,7,3.8,2.206465,31.407,7.1350002,5.2990851,1.05,850891,4.138,,.1,.14749332,67.602242,,,,,,,,,,,,,,,29.646999,51.463001,40.587002,46.790001,18.83,34.380001,35.529999,57.43,8.0819998
"Congo, Dem. Rep.",COD,Africa,512.5863,,,,38.283482,45.046001,.072154842,56.133129,13.773919,10,18.427513,13.151335,3.5362608,40.613739,,,62.233002,60.681,59.146999,65.5,71.300003,59.299999,10.6,2.8,3.1870863,40.639,9.2919998,5.9176955,1.03,86790568,5.8189998,,.80000001,.013711167,42.773323,,,,,,,,,,.70805901,,,,,60.207001,65.882004,63.014,25.860001,9.8400002,64.300003,61.860001,66.309998,4.4510002
"Congo, Rep.",COG,Africa,1793.0281,,,,15.755502,67.373001,.75253481,64.307465,45.976582,11.258278,45.716469,,2.0833108,81.691925,,,66.023003,64.57,63.082001,35.900002,39.400002,32.299999,9.5,3.5,2.5628264,32.396999,6.612,4.8822255,1.03,5380504,4.3740001,,3.7,,91.905823,,,,,,,,,,2.7482965,,,,,52.275002,55.451,53.849998,44.990002,21.469999,33.529999,68.580002,72.089996,20.622
Costa Rica,CRI,South America,12755.168,,,,98.855484,80.075996,.1279851,59.116726,.75601333,45.614037,80.520683,30.333223,7.2739325,1636.1824,,,82.892998,80.278999,77.738998,7.1999998,7.5999999,6.6999998,14.1,2,.957865,13.689,5.152,14.310983,1.05,5047561,1.737,,.40000001,17.924181,169.39355,48.200001,36.700001,20.715601,.40000001,4.3000002,1.1,11.153902,1.9009736,20.415937,0,37.98,19.459999,26.719999,42.799999,42.910999,67.558998,55.151001,69.220001,18.799999,11.97,58.299999,83.940002,11.49
Cote d'Ivoire,CIV,Africa,2327.7454,,,,80.869667,51.238998,.18091735,9.2754717,3.3159463,10.980392,35.139221,,3.2986295,179.55179,.16230001,.65560001,59.118999,57.783001,56.592999,59.400002,66.199997,52.299999,14.9,2.8,2.549387,35.464001,9.8690004,5.1849942,1.03,25716554,4.5929999,,2.2,.84273767,145.3407,,,,,,,,,,1.2274808,37.950001,24.190001,30.030001,,44.516998,63.43,54.087002,46.990002,12.86,40.150002,45.509998,63.450001,3.3180001
